fen,played_move_uci,best_move_uci,best_eval
4r1k1/rp3pb1/2p5/2Pp4/3Pp1np/1NN1P3/P4PP1/2R2RK1 w - - 0 27,c1b1,a2a4,-67
4r1k1/rp3pb1/2p5/2Pp4/3Pp1np/1NN1P3/P4PP1/1R3RK1 b - - 1 27,e8e6,f7f5,106
6k1/rp3pb1/2p1r3/2Pp4/3Pp1np/1NN1P3/P4PP1/1R3RK1 w - - 2 28,c3e2,a2a4,-90
6k1/rp3pb1/2p1r3/2Pp4/3Pp1np/1N2P3/P3NPP1/1R3RK1 b - - 3 28,f7f5,g7h6,175
6k1/rp4b1/2p1r3/2Pp1p2/3Pp1np/1N2P3/P3NPP1/1R3RK1 w - - 0 29,b1b2,a2a4,-77
6k1/rp4b1/2p1r3/2Pp1p2/3Pp1np/1N2P3/PR2NPP1/5RK1 b - - 1 29,g7h6,g7h6,93
6k1/rp6/2p1r2b/2Pp1p2/3Pp1np/1N2P3/PR2NPP1/5RK1 w - - 2 30,e2f4,f1b1,-84
6k1/rp6/2p1r2b/2Pp1p2/3PpNnp/1N2P3/PR3PP1/5RK1 b - - 3 30,h6f4,h6f4,154
6k1/rp6/2p1r3/2Pp1p2/3Ppbnp/1N2P3/PR3PP1/5RK1 w - - 0 31,e3f4,e3f4,-170
6k1/rp6/2p1r3/2Pp1p2/3PpPnp/1N6/PR3PP1/5RK1 b - - 0 31,a7a5,e6e7,160
6k1/1p6/2p1r3/r1Pp1p2/3PpPnp/1N6/PR3PP1/5RK1 w - - 1 32,f1e1,b3a5,378
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,e2e4,37
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5,g8f6,-17
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3,c2c4,29
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,g8f6,g8f6,-22
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,g2g3,c2c4,23
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,c8f5,c7c5,-10
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,f1g2,c2c4,21
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 2 4,e7e6,e7e6,7
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,e1g1,c2c4,-12
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 1 5,b7b5,f8e7,20
rn1qkb1r/p1p2ppp/4pn2/1p1p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6,h2h4,f3h4,84
rn1qkb1r/p1p2ppp/4pn2/1p1p1b2/3P3P/5NP1/PPP1PPB1/RNBQ1RK1 b kq - 0 6,f8e7,f8d6,9
rn1qk2r/p1p1bppp/4pn2/1p1p1b2/3P3P/5NP1/PPP1PPB1/RNBQ1RK1 w kq - 1 7,f3e5,a2a4,31
rn1qk2r/p1p1bppp/4pn2/1p1pNb2/3P3P/6P1/PPP1PPB1/RNBQ1RK1 b kq - 2 7,e8g8,e8g8,-16
rn1q1rk1/p1p1bppp/4pn2/1p1pNb2/3P3P/6P1/PPP1PPB1/RNBQ1RK1 w - - 3 8,c1f4,a2a4,17
